Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C117799	C71152		ECG Test Name	ST Segment Deviation, Aggregate	ST Segment Deviation, Aggregate	An aggregate ST segment deviation value based on the measurement of ST segment deviation from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	ST Segment Deviation Aggregate
C117800	C71152		ECG Test Name	ST Segment Deviation, Single Beat	ST Segment Deviation, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the ST segment deviation above or below the isoelectric baseline measured from the baseline to the ST segment of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	ST Segment Deviation Single Beat
C117803	C71152		ECG Test Name	ST Segment Duration, Aggregate	ST Segment Duration, Aggregate	An aggregate ST segment duration value based on the measurement of ST segment duration intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	ST Segment Duration Aggregate
C117804	C71152		ECG Test Name	ST Segment Duration, Single Beat	ST Segment Duration, Single Beat	An electrocardiographic interval measured from the J point to the onset of the T wave of a single beat utilizing one or more leads.	ST Segment Duration Single Beat
C117801	C71152		ECG Test Name	ST Segment Elevation, Aggregate	ST Segment Elevation, Aggregate	An aggregate ST segment elevation value based on the measurement of ST segment elevation from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	ST Segment Elevation Aggregate
C117802	C71152		ECG Test Name	ST Segment Elevation, Single Beat	ST Segment Elevation, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the ST segment elevation above the isoelectric baseline measured from the baseline to the ST segment of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	ST Segment Elevation Single Beat
C111363	C71152		ECG Test Name	ST Segment, T wave, and U wave	ST Segment, T wave, and U wave	An electrocardiographic assessment of the characteristics of the ST segment, T wave, and U wave.	ST Segment, T wave, and U wave ECG Assessment
C62117	C71152		ECG Test Name	Summary (Max) JT Interval	Summary (Max) JT Interval	The maximum duration (time) of the JT interval, obtained from a set of measurements of the JT interval. The JT interval is defined as the time from the J point (end of ventricular depolarization, the point at which the QRS meets the ST segment) to the end of the T wave (representing the end of ventricular repolarization). (NCI)	Maximum JT Duration
C62131	C71152		ECG Test Name	Summary (Max) PR Duration	Summary (Max) PR Duration	The maximum duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave. (NCI)	Maximum PR Duration
C62135	C71152		ECG Test Name	Summary (Max) QT Duration	Summary (Max) QT Duration	The maximum duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave. (NCI)	Maximum QT Duration
C62094	C71152		ECG Test Name	Summary (Max) RR Duration	Summary (Max) RR Duration	The maximum duration (time) between successive peaks of R waves in a particular set of RR intervals. (NCI)	Maximum RR Duration
C62163	C71152		ECG Test Name	Summary (Max) ST Depression	Summary (Max) ST Depression	The maximum depression (negative deflection from baseline, usually measured in mm) of the ST segment, obtained from a set of measurements of the depression of the ST segment. (NCI)	Maximum ST Segment Depression by ECG Finding
C62157	C71152		ECG Test Name	Summary (Max) ST Deviation	Summary (Max) ST Deviation	The maximum deviation (distance from baseline, positive or negative, usually measured in mm) of the ST segment, obtained from a set of measurements of the deviation of the ST segment. (NCI)	Maximum ST Deviation
C62160	C71152		ECG Test Name	Summary (Max) ST Elevation	Summary (Max) ST Elevation	The maximum elevation (positive deflection from baseline, usually measured in mm) of the ST segment, obtained from a set of measurements of the elevation of the ST segment. (NCI)	Maximum ST Segment Elevation
C62115	C71152		ECG Test Name	Summary (Mean) JT Interval	Summary (Mean) JT Interval	The average (mean) duration (time) of the JT interval, obtained from a set of measurements of the JT interval. The JT interval is defined as the time from the J point (end of ventricular depolarization, the point at which the QRS meets the ST segment) to the end of the T wave (representing the end of ventricular repolarization). (NCI)	Mean JT Duration
C62123	C71152		ECG Test Name	Summary (Mean) P Wave Duration	Summary (Mean) P Wave Duration	The average (mean) duration (time) from the onset of atrial depolarization to the completion of atrial depolarization (length of the P wave), obtained from a set of measurements of the time from beginning to end of atrial depolarization. (NCI)	Mean P Wave Duration
C62124	C71152		ECG Test Name	Summary (Mean) P Wave Height	Summary (Mean) P Wave Height	The average (mean) height (usually measured in mm) of the maximum deflection from baseline of the P wave (representing atrial depolarization), obtained from a set of measurements of the P wave, from a single lead or set of leads. Typically this measurement is obtained by analysis of Lead II. (NCI)	Mean P Wave Height
C62086	C71152		ECG Test Name	Summary (Mean) PR Duration	Summary (Mean) PR Duration	The average (mean) duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave. (NCI)	Mean PR Duration
C62087	C71152		ECG Test Name	Summary (Mean) QRS Duration	Summary (Mean) QRS Duration	The average (mean) duration (time) of the QRS interval, obtained from a set of measurements of the QRS interval. The QRS interval is defined as the time from the beginning of the QRS complex to the end of the QRS complex, representing the time it takes for the ventricles to depolarize. (NCI)	Mean QRS Duration
C62089	C71152		ECG Test Name	Summary (Mean) QT Duration	Summary (Mean) QT Duration	The average (mean) duration (time) of the QT interval, obtained from a set of measurements of the QT interval. The QT interval is defined as the time from the beginning of the QRS complex to the end of the T wave, representing the time it takes for the ventricles to depolarize and subsequently repolarize. In some cases, the Q wave will be absent, in which case the QT interval is measured from the beginning of the R wave to the end of the T wave. (NCI)	Mean QT Duration
C62136	C71152		ECG Test Name	Summary (Mean) R Wave Amplitude	Summary (Mean) R Wave Amplitude	The average (mean) amplitude (usually in mm) of the R wave, obtained from a set of measurements of the R wave, in a particular lead or set of leads. (NCI)	Mean R Wave Amplitude
C62144	C71152		ECG Test Name	Summary (Mean) R+S Amplitude	Summary (Mean) R+S Amplitude	The average (mean) amplitude (usually in mm) of the summation of the R and S waves, obtained from a set of measurements of the R and S waves, in a particular lead or set of leads. (NCI)	Mean R+S Amplitude
C62090	C71152		ECG Test Name	Summary (Mean) RR Duration	Summary (Mean) RR Duration	The average (mean) duration (time) of the RR interval, obtained from a set of measurements of the RR interval. The RR interval is defined as the time between successive peaks of the R wave and can be used to measure the ventricular rate. (NCI)	Mean RR Duration
C62137	C71152		ECG Test Name	Summary (Mean) S Wave Amplitude	Summary (Mean) S Wave Amplitude	The average (mean) amplitude (usually in mm) of the S wave, obtained from a set of measurements of the S wave, in a particular lead or set of leads. (NCI)	Mean S Wave Amplitude
C62161	C71152		ECG Test Name	Summary (Mean) ST Depression	Summary (Mean) ST Depression	The average (mean) depression (negative deflection from baseline, usually measured in mm) of the ST segment, obtained from a set of measurements of the depression of the ST segment. (NCI)	Mean ST Segment Depression by ECG Finding
C62155	C71152		ECG Test Name	Summary (Mean) ST Deviation	Summary (Mean) ST Deviation	The average (mean) deviation (distance from baseline, positive or negative, usually measured in mm) of the ST segment, obtained from a set of measurements of the deviation of the ST segment. (NCI)	Mean ST Deviation
C62158	C71152		ECG Test Name	Summary (Mean) ST Elevation	Summary (Mean) ST Elevation	The average (mean) elevation (positive deflection from baseline, usually measured in mm) of the ST segment, obtained from a set of measurements of the elevation of the ST segment. (NCI)	Mean ST Segment Elevation
C62145	C71152		ECG Test Name	Summary (Mean) ST Segment Duration	Summary (Mean) ST Segment Duration	The average (mean) duration (time) of the ST segment, measured from the J point at the end of the QRS complex to the beginning of the T wave.	Mean ST Segment Duration
C62148	C71152		ECG Test Name	Summary (Mean) T Wave Area	Summary (Mean) T Wave Area	The average (mean) area under the curve of the deflection from baseline of the T wave (representing ventricular repolarization), obtained from a set of measurements of the T wave, from a single lead or set of leads. (NCI)	Mean T Wave Area
C62147	C71152		ECG Test Name	Summary (Mean) T Wave Duration	Summary (Mean) T Wave Duration	The average (mean) duration (time) from the onset of ventricular repolarization to the completion of ventricular repolarization (length of the T wave), obtained from a set of measurements of the time from beginning to end of ventricular repolarization. (NCI)	Mean T Wave Duration
